"Name","Instance ID","Role","Status"
"mx-vpc-002","i-1f0985ea","mx","running"
"mysql-proxy-001","i-07c8921b0e1033a46","mysql-proxy","running"
"mysql-proxy-002","i-029d79c8e2db26a39","mysql-proxy","running"
"mysql-proxy-apne-001","i-0a58be2bb1f6573c7","mysql-proxy","running"
"new-grad-exam-001","i-2542493c","base","stopped"
"notification-redis-201","i-0b27535290495d55d","notification-redis","running"
"notification-redis-202","i-0ad3fb9471c343a20","notification-redis","running"
"notification-redis-203","i-0c868bdce9697e8b7","notification-redis","running"
"notification-redis-204","i-029a4893b309f6c1c","notification-redis","running"
"ozen-child-db-000","i-b45408b6","ozen-db,create-ami-ozen","stopped"
"ozen-yoshiori-001","i-368d0530","","stopped"
"page-cache-001","i-c9c1b16c","page-cache","running"
"page-cache-002","i-721ccffd","page-cache","running"
"page-cache-misc-001","i-a79f83a4","page-cache-misc","stopped"
"page-cache-misc-001","i-ebeb3019","page-cache-misc","stopped"
"page-cache-misc-002","i-b792e142","page-cache-misc","stopped"
"page-cache-misc-002","i-768f9d74","page-cache-misc","stopped"
"redis-cookpad-misc-001","i-0062f2d1a51b06417","redis-cookpad-misc","running"
"redis-cookpad-misc-002","i-005137d5bb356188b","redis-cookpad-misc","running"
"retail-tools-101","i-beb0764b","","stopped"
"rproxy-auth-101","i-ee0b724b","rproxy-auth","stopped"
"rproxy-auth-102","i-2bd108a4","rproxy-auth","stopped"
"rproxy-auth-103","i-640a73c1","rproxy-auth","stopped"
"rproxy-auth-104","i-3f19c0b0","rproxy-auth","stopped"
"rproxy-chatsu-101","i-0e3e5f8d6c8aecb14","rproxy-chatsu","running"
"rproxy-chatsu-102","i-04a5fe0fb41459c9f","rproxy-chatsu","running"
"rproxy-cookpad-001","i-0346b1b47e0fefab1","rproxy-cookpad","running"
"rproxy-cookpad-002","i-0b9b4238d48b913e6","rproxy-cookpad","running"
"rproxy-cookpad-003","i-04f755f1316676538","rproxy-cookpad","running"
"rproxy-cookpad-004","i-050f3c4995727eb5c","rproxy-cookpad","running"
"rproxy-crossregion-001","i-2d3d5388","rproxy-crossregion","running"
"rproxy-crossregion-002","i-b40dc43b","rproxy-crossregion","running"
"rproxy-crossregion-101","i-0752aec18c31fa34a","rproxy-crossregion","running"
"rproxy-crossregion-102","i-074a406974fd32bd9","rproxy-crossregion","running"
"rproxy-crossregion-sorah-002","i-b4654711","rproxy-crossregion","stopped"
"rproxy-dev-001","i-0cfca557cd43907e2","rproxy-dev","running"
"rproxy-docker-101","i-9a30e568","rproxy-docker","running"
"rproxy-docker-102","i-e59cf710","rproxy-docker","running"
"rproxy-docker-103","i-bf2bfd4d","rproxy-docker","running"
"rproxy-docker-104","i-8b9df67e","rproxy-docker","running"
"rproxy-hako-001","i-8eb34d00","rproxy-hako","running"
"rproxy-hako-002","i-d53bd14b","rproxy-hako","running"
"rproxy-hako-internal-101","i-01e37f1637aac530c","rproxy-hako-internal","running"
"rproxy-hako-internal-102","i-0326a2fb978dc1fca","rproxy-hako-internal","running"
"rproxy-misc-internal-001","i-9c97d499","rproxy-misc-internal","running"
"rproxy-misc-internal-002","i-9d97d498","rproxy-misc-internal","running"
"rproxy-misc-internal-101","i-03ac2602aae6996bd","rproxy-misc-internal","running"
"rproxy-misc-internal-101-to-be-terminated","i-0a611c8213173a79d","rproxy-misc-internal-ubuntu","stopped"
"rproxy-misc-internal-auth-101","i-bca0ee19","rproxy-misc-internal-auth","running"
"rproxy-misc-internal-auth-102","i-99b61816","rproxy-misc-internal-auth","running"
"rproxy-multi-001","i-b5a20147","rproxy-multi","stopped"
"rproxy-multi-002","i-f6601903","rproxy-multi","stopped"
"rproxy-multi-101","i-d9bcad2a","rproxy-multi","running"
"rproxy-multi-102","i-14c949e1","rproxy-multi","running"
"rproxy-multi-201","i-0552e2f3c37c93409","rproxy-multi-nginx","running"
"rproxy-multi-202","i-0c5a21f4bd70f630f","rproxy-multi-nginx","running"
"rproxy-multi-test-001","i-427b2be7","rproxy-multi","stopped"
"rproxy-pantry-401","i-00b2aca898e796ad4","rproxy-pantry","running"
"rproxy-pantry-402","i-06a3647a4b7792d60","rproxy-pantry","running"
"rproxy-pantry-403","i-06a39f24535b3ae7f","rproxy-pantry","running"
